IT524,3,MVJ,1,3ML,M Tech,ICT
IT555,3,SDG,1,3ML,M Tech,ICT
IT550,3,Sandip Modha,1,3ML,M Tech,ICT
IT499,3,SB,1,3ML,M Tech,ICT
EL519,2,BM,1,3VES,M Tech,ICT
EL530,3,TKM,1,3VES,M Tech,ICT
EL531,3,BM,1,3VES,M Tech,ICT
EL453,3,RP,1,3VES,M Tech,ICT
CT425,3,DKG,1,3,M Tech,EC
CT437,3,HP,1,3,M Tech,EC
PC613,3,JJ,0,1,MSc,IT
IT623,3,RM2,0,1,MSc,IT
IT615,3,MK,0,1,MSc,IT
SC612,3,GP,0,1,MSc,IT
IT603,3,LS,0,1,MSc,IT
SC613,3,BC,0,1,MSc,DS
SC614,3,TB,0,1,MSc,DS
IT605,3,RM,0,1,MSc,DS
IT607,3,MB,0,1,MSc,DS
IT619,3,JP,0,3,MSc,IT
IT618,3,PMJ,0,3,MSc,IT
IT634,3,MLD,1,3TE,MSc,IT
IT627,3,LS,1,3TE,MSc,IT
IT414,3,JP,1,3TE,MSc,IT
HM403,3,CJ,1,3,MSc,IT
HM333,3,N Banerjee,1,3,MSc,IT
HM492,2,GV,1,3,MSc,IT
IT641,3,BG,0,3,MSc,DS
IT642,3,BC,0,3,MSc,DS
HM403,3,CJ,1,3,MSc,DS
HM333,3,N Banerjee,1,3,MSc,DS
HM492,2,GV,1,3,MSc,DS
MA611,3,AKM,0,1,MSc,AA
MA612,3,TB,0,1,MSc,AA
MA613,3,RG with Vinay 4-5 lectures,0,1,MSc,AA
MA614,1,NKS,0,1,MSc,AA
MA615,1,RG,0,1,MSc,AA
MA631,3,AAU,0,3,MSc,AA
MA632,3,AAU,0,3,MSc,AA
MA633,3,AAU,0,3,MSc,AA
MA634,3,AAU,0,3,MSc,AA
PC748,1,MM,0,1,MDes,CD
PC721,3,VP,0,1,MDes,CD
PC722,3,Rudranil Das,0,1,MDes,CD
PC746,3,Mayank Loonker,0,1,MDes,CD
PC749,3,VP,0,1,MDes,CD
PC741,3,Prosenjit Ganguly,0,3,MDes,CD
PC733,3,N Desai,0,3,MDes,CD
PC743,3,VP,0,3,MDes,CD
PC745,3,VP,0,3,MDes,CD
PC740,1,MM,0,3,MDes,CD
